Subtype	Group	Type	Subtype_name	Required_domains	less_strict	count	genes
Aerolysin	Effector Genes	AMP	Aerolysin	IPR005830		14	See supplemental file SFile3
ETX/MTX-2	Effector Genes	AMP	Epsilon toxin	IPR004991		5	LOC101857663, LOC101857969, LOC101846908, LOC101858001, LOC106011851
LBP/BPI	Effector Genes	AMP	Lipopolysaccharide-binding protein/Bactericidal/permeability-increasing protein	IPR001124,IPR017942	IPR030675	1	LOC101845376
MACPF	Effector Genes	AMP	MACPF domain containing protein (Perfoin-like)	IPR020864		3	LOC101845147, LOC101864334, LOC101861925
Mucin	Effector Genes	AMP	Mucin	IPR000082	IPR036364	13	See supplemental file SFile3
CAT	Effector Genes	Antioxidants	Catalase	IPR011614		2	LOC101854685, LOC101860167
GPX	Effector Genes	Antioxidants	Glutathione peroxidase	IPR029760	IPR000889	3	LOC101845824, LOC101850882, LOC106012346
GRX	Effector Genes	Antioxidants	Glutaredoxin	IPR002109		8	See supplemental file SFile3
GSR	Effector Genes	Antioxidants	Glutathione reductase	IPR023753,IPR004099,IPR006322	IPR006322,IPR036188,IPR016156	1	LOC101847425
GST	Effector Genes	Antioxidants	Glutathion S transferase	IPR004046,IPR004045	IPR010987	68	See supplemental file SFile3
MnSOD	Effector Genes	Antioxidants	Superoxide Dismutase (Mn/Fe)	IPR019832,IPR019831		1	LOC101852344
PRDX	Effector Genes	Antioxidants	Peroxiredoxin	IPR000866	IPR013766,IPR019479	4	LOC100533273, LOC101852808, LOC101852939, LOC101861906
PRX	Effector Genes	Antioxidants	Peroxidases	IPR019791	IPR037120	14	See supplemental file SFile3
SOD	Effector Genes	Antioxidants	Superoxide Dismutase (Cu/Zn)	IPR001424		8	See supplemental file SFile3
TRXDC	Effector Genes	Antioxidants	thioredoxin domain-containing protein	IPR013766		38	See supplemental file SFile3
ADAR	Effector Genes	Antiviral	Double-stranded RNA-specific adenosine deaminase	IPR002466,IPR044456,IPR044457,IPR014720,IPR042371	IPR002466,IPR014720,IPR042371	1	LOC101855902
APOBEC3	Effector Genes	Antiviral	Apolipoprotein B Editing Complex 3 proteins	IPR002125,IPR016192	IPR040551	3	LOC101861380, LOC101858634, LOC101854808
CAV	Effector Genes	Antiviral	Caveolin	IPR018361	IPR001612	8	See supplemental file SFile3
Gilt	Effector Genes	Antiviral	Gilt	IPR004911		5	LOC101846476, LOC101863576, LOC101845647, LOC101848961, LOC101846527
IFITML	Effector Genes	Antiviral	Interferon-induced transmembrane protein-like	IPR007593		10	See supplemental file SFile3
Mx	Effector Genes	Antiviral	Interferon-induced GTP-binding protein Mx	IPR003130,IPR001401,IPR000375,IPR045063	IPR020850,IPR030381,IPR027417	2	LOC101848065, LOC101863954
PARPs	Effector Genes	Antiviral	Protein mono-ADP-ribosyltransferase	IPR012317		17	See supplemental file SFile3
RSADs	Effector Genes	Antiviral	viperins (Radical S-adenosyl methionine domain-containing proteins)	IPR007197,IPR013785		4	LOC101856483, LOC101856246, LOC101847430, LOC101847031
ZNFX1	Effector Genes	Antiviral	zinc finger NFX1-type containing 1	IPR041677,IPR041679,IPR000967,IPR016024	IPR045055,IPR041677,IPR041679	3	LOC101857249, LOC101862822, LOC101851452
Beclin	Effector Genes	Autophagy	Beclin	IPR041691,IPR040455,IPR029318	IPR038274	1	LOC101848114
A2M	Effector Genes	Complement	alpha-2-macroglobulin containing proteins	IPR001599		13	See supplemental file SFile3
C1qDC	Effector Genes	Complement	C1q domain containing proteins	IPR001073		11	See supplemental file SFile3
C3/4/5	Effector Genes	Complement	Complement proteins 3/4/5	IPR001134,IPR009048,IPR011626	IPR008993,IPR036595	2	LOC101848728, LOC101862906
CD109	Effector Genes	Complement	Cluster of Differentiation 109	IPR009048,IPR011625,IPR041813,IPR013783,IPR001599,IPR002890,IPR041555	IPR036595,IPR011626,IPR011625,IPR041813,IPR013783,IPR001599	2	LOC101854858, LOC101861335
CFB	Effector Genes	Complement	Factor B-like	IPR002035,IPR000436,IPR001254	IPR011360	1	LOC101854327
MEGF10	Effector Genes	Complement	Multiple epidermal growth factor-like domains protein 10	IPR001881,IPR000742,IPR011489		2	LOC101848617, LOC106013429
TEP	Effector Genes	Complement	thioester containing protein (thioester)	IPR011626		13	See supplemental file SFile3
CUL	Effector Genes	E3 Ubiquitin ligases	Cullin	IPR016158	IPR036317	6	See supplemental file SFile3
FBXL	Effector Genes	E3 Ubiquitin ligases	F-box/LRR-repeat protein	IPR001810,IPR032675	IPR036047,IPR032675	29	See supplemental file SFile3
