Category	Group	Type	Subtype_name	Subtype	req_domain_code	Required_domains	less_strict	Alt_req	Cannot_have	Uniprot_human	Uniprot_DroMel	citation	DOI	Link
IMMUNITY	Effector Genes	AMP	Aerolysin	Aerolysin	Aerolysin	IPR005830						Lacomel et al. 2021	10.1016/j.jip.2021.107570	https://www.sciencedirect.com/science/article/pii/S0022201121000379?via%3Dihub
IMMUNITY	Effector Genes	AMP	Big defensin	Big defensin	Defensin_big_dom	IPR028060						Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	AMP	defensin	defensin	defensine	IPR001542						Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	AMP	Epsilon toxin	ETX/MTX-2	Aerolysin-like	IPR004991						Lacomel et al. 2021	10.1016/j.jip.2021.107570	https://www.sciencedirect.com/science/article/pii/S0022201121000379?via%3Dihub
IMMUNITY	Effector Genes	AMP	Lipopolysaccharide-binding protein/Bactericidal/permeability-increasing protein	LBP/BPI	"Lipid-bd_serum_glycop_C, Lipid-bd_serum_glycop_N"	"IPR001124,IPR017942"	IPR030675			P17213		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	AMP	Macins	Macins	Macin	IPR029230	IPR038456					Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	AMP	MACPF domain containing protein (Perfoin-like)	MACPF	MACPF	IPR020864				P14222		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	AMP	Mucin	Mucin	SEA_dom	IPR000082	IPR036364			"P15941,Q02817,Q02505,Q99102,Q9HC84,Q6W4X9,Q8TAX7"		Buddenbor et al. 2017	10.1371/journal.pntd.0005984	https://www.ncbi.nlm.nih.gov/pubmed/29045404
IMMUNITY	Effector Genes	AMP	Myticin	Myticin	Myticin_preproprotein	IPR019631						Philipp et al. 2012	10.1371/journal.pone.0033091	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3308963/
IMMUNITY	Effector Genes	Antioxidants	Catalase	CAT	Catalase_core	IPR011614				P04040		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Antioxidants	Glutaredoxin	GRX	Glutaredoxin	IPR002109				"P35754,Q9NS18,O76003,Q86SX6"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antioxidants	Glutathion S transferase	GST	"GST_C, GST_N"	"IPR004046,IPR004045"	IPR010987			"P08263,P09210,Q16772,O15217,P09488,P28161,P21266,Q03013,P46439,P09211,Q9Y2Q3,P30711"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antioxidants	Glutathione peroxidase	GPX	GPX_CS	IPR029760	IPR000889			"P07203,P18283,P22352,P36969,O75715,P59796,Q96SL4,Q8TED1"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antioxidants	Glutathione reductase	GSR	"FAD/NAD-binding_dom,Pyr_nucl-diS_OxRdtase_dimer"	"IPR023753,IPR004099,IPR006322"	"IPR006322,IPR036188,IPR016156"			P00390		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antioxidants	Nucleoredoxin	NXN	TryX_NRX_thioredoxin_dom	IPR045870				Q6DKJ4		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antioxidants	Peroxidases	PRX	Haem_peroxidase_animal	IPR019791	IPR037120			Q9VEG6		Buddenbor et al. 2017	10.1371/journal.pntd.0005984	https://www.ncbi.nlm.nih.gov/pubmed/29045404
IMMUNITY	Effector Genes	Antioxidants	Peroxiredoxin	PRDX	AhpC/TSA	IPR000866	"IPR013766,IPR019479"			"Q06830,P32119,P30048,Q13162,P30044,P30041"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antioxidants	Superoxide Dismutase (Cu/Zn)	SOD	SOD_Cu_Zn_dom	IPR001424		"IPR019832,IPR019831"		"P00441,P08294"		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Antioxidants	Superoxide Dismutase (Mn/Fe)	MnSOD	"Mn/Fe_SOD_C,Mn/Fe_SOD_N"	"IPR019832,IPR019831"				P04179		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antioxidants	thioredoxin domain-containing protein	TRXDC	Thioredoxin_domain	IPR013766				P10599		Buddenbor et al. 2017	10.1371/journal.pntd.0005984	https://www.ncbi.nlm.nih.gov/pubmed/29045404
